Industry,Region,Month,Frequency,Year
New Materials,Hebei,2,0,2015
New Materials,Henan,2,0,2015
New Materials,Jiangxi,2,0,2015
New Materials,Others,2,0,2015
New Materials,Shandong,2,0,2015
New Materials,Shanghai,2,0,2015
Ocean Engineering,Beijing,2,0,2015
Ocean Engineering,Liaoning,2,0,2015
Ocean Engineering,Others,2,0,2015
Ocean Engineering,Zhejiang,2,0,2015
Rail Transit,Beijing,2,0,2015
Rail Transit,Guangdong,2,0,2015
Rail Transit,Jiangxi,2,0,2015
Rail Transit,Others,2,0,2015
Rail Transit,Shanghai,2,0,2015
Rail Transit,Sichuan,2,0,2015
Rail Transit,Zhejiang,2,0,2015
Robotics,Anhui,2,0,2015
Robotics,Beijing,2,0,2015
Robotics,Chongqing,2,0,2015
Robotics,Guangdong,2,0,2015
Robotics,Heilongjiang,2,0,2015
Robotics,Henan,2,0,2015
Robotics,Jiangsu,2,1,2015
Robotics,Jiangxi,2,0,2015
Robotics,Liaoning,2,0,2015
Robotics,Others,2,0,2015
Robotics,Shandong,2,0,2015
Robotics,Shanghai,2,0,2015
Robotics,Sichuan,2,0,2015
Robotics,Tianjin,2,0,2015
Robotics,Xinjiang,2,0,2015
Robotics,Zhejiang,2,0,2015
Agricultural Machinery,Beijing,3,0,2015
Agricultural Machinery,Others,3,1,2015
Agricultural Machinery,Sichuan,3,0,2015
Agricultural Machinery,Tibet,3,1,2015
Biopharmaceuticals,Beijing,3,0,2015
Biopharmaceuticals,Henan,3,0,2015
Biopharmaceuticals,Jiangxi,3,0,2015
Biopharmaceuticals,Others,3,1,2015
Biopharmaceuticals,Shanghai,3,0,2015
Biopharmaceuticals,Tianjin,3,1,2015
Information Technology,Beijing,3,0,2015
Information Technology,Guangdong,3,0,2015
Information Technology,Guizhou,3,0,2015
Information Technology,Liaoning,3,0,2015
Information Technology,Others,3,2,2015
Information Technology,Shandong,3,0,2015
Information Technology,Shanghai,3,0,2015
Information Technology,Sichuan,3,0,2015
Information Technology,Tianjin,3,0,2015
Information Technology,Xinjiang,3,0,2015
New Energy Vehicles,Anhui,3,0,2015
New Energy Vehicles,Beijing,3,0,2015
New Energy Vehicles,Guangdong,3,0,2015
New Energy Vehicles,Hebei,3,0,2015
New Energy Vehicles,Heilongjiang,3,1,2015
New Energy Vehicles,Henan,3,0,2015
New Energy Vehicles,Jiangsu,3,0,2015
New Energy Vehicles,Jiangxi,3,0,2015
New Energy Vehicles,Others,3,1,2015
New Energy Vehicles,Shanghai,3,0,2015
New Materials,Beijing,3,0,2015
New Materials,Hebei,3,1,2015
New Materials,Henan,3,0,2015
New Materials,Jiangxi,3,0,2015
New Materials,Others,3,1,2015
New Materials,Shandong,3,0,2015
New Materials,Shanghai,3,0,2015
Ocean Engineering,Beijing,3,1,2015
Ocean Engineering,Liaoning,3,0,2015
Ocean Engineering,Others,3,1,2015
Ocean Engineering,Zhejiang,3,0,2015
Rail Transit,Beijing,3,0,2015
Rail Transit,Guangdong,3,0,2015
Rail Transit,Jiangxi,3,0,2015
Rail Transit,Others,3,3,2015
Rail Transit,Shanghai,3,0,2015
Rail Transit,Sichuan,3,0,2015
Rail Transit,Zhejiang,3,0,2015
Robotics,Anhui,3,0,2015
Robotics,Beijing,3,1,2015
Robotics,Chongqing,3,0,2015
Robotics,Guangdong,3,0,2015
Robotics,Heilongjiang,3,2,2015
Robotics,Henan,3,0,2015
Robotics,Jiangsu,3,0,2015
Robotics,Jiangxi,3,0,2015
Robotics,Liaoning,3,0,2015
Robotics,Others,3,1,2015
Robotics,Shandong,3,0,2015
Robotics,Shanghai,3,0,2015
Robotics,Sichuan,3,1,2015
Robotics,Tianjin,3,0,2015
Robotics,Xinjiang,3,0,2015
Robotics,Zhejiang,3,0,2015
Agricultural Machinery,Beijing,4,1,2015
Agricultural Machinery,Others,4,0,2015
Agricultural Machinery,Sichuan,4,0,2015
Agricultural Machinery,Tibet,4,0,2015
Biopharmaceuticals,Beijing,4,1,2015
Biopharmaceuticals,Henan,4,0,2015
Biopharmaceuticals,Jiangxi,4,0,2015
Biopharmaceuticals,Others,4,0,2015
Biopharmaceuticals,Shanghai,4,1,2015
Biopharmaceuticals,Tianjin,4,0,2015
Information Technology,Beijing,4,0,2015
Information Technology,Guangdong,4,0,2015
Information Technology,Guizhou,4,0,2015
Information Technology,Liaoning,4,0,2015
Information Technology,Others,4,1,2015
Information Technology,Shandong,4,0,2015
Information Technology,Shanghai,4,1,2015
Information Technology,Sichuan,4,1,2015
Information Technology,Tianjin,4,0,2015
Information Technology,Xinjiang,4,1,2015
New Energy Vehicles,Anhui,4,0,2015
New Energy Vehicles,Beijing,4,0,2015
New Energy Vehicles,Guangdong,4,0,2015
New Energy Vehicles,Hebei,4,0,2015
New Energy Vehicles,Heilongjiang,4,0,2015
New Energy Vehicles,Henan,4,0,2015
New Energy Vehicles,Jiangsu,4,0,2015
New Energy Vehicles,Jiangxi,4,0,2015
New Energy Vehicles,Others,4,0,2015
New Energy Vehicles,Shanghai,4,0,2015
New Materials,Beijing,4,0,2015
New Materials,Hebei,4,0,2015
New Materials,Henan,4,1,2015
New Materials,Jiangxi,4,0,2015
New Materials,Others,4,0,2015
New Materials,Shandong,4,0,2015
New Materials,Shanghai,4,0,2015
Ocean Engineering,Beijing,4,0,2015
Ocean Engineering,Liaoning,4,0,2015
Ocean Engineering,Others,4,0,2015
Ocean Engineering,Zhejiang,4,0,2015
Rail Transit,Beijing,4,0,2015
Rail Transit,Guangdong,4,0,2015
Rail Transit,Jiangxi,4,0,2015
Rail Transit,Others,4,0,2015
Rail Transit,Shanghai,4,0,2015
Rail Transit,Sichuan,4,0,2015
Rail Transit,Zhejiang,4,1,2015
Robotics,Anhui,4,0,2015
Robotics,Beijing,4,1,2015
Robotics,Chongqing,4,0,2015
Robotics,Guangdong,4,0,2015
Robotics,Heilongjiang,4,0,2015
Robotics,Henan,4,0,2015
Robotics,Jiangsu,4,0,2015
Robotics,Jiangxi,4,0,2015
Robotics,Liaoning,4,0,2015
Robotics,Others,4,2,2015
Robotics,Shandong,4,0,2015
Robotics,Shanghai,4,0,2015
Robotics,Sichuan,4,0,2015
Robotics,Tianjin,4,0,2015
Robotics,Xinjiang,4,0,2015
Robotics,Zhejiang,4,0,2015
Agricultural Machinery,Beijing,5,0,2015
Agricultural Machinery,Others,5,0,2015
Agricultural Machinery,Sichuan,5,0,2015
Agricultural Machinery,Tibet,5,0,2015
Biopharmaceuticals,Beijing,5,0,2015
Biopharmaceuticals,Henan,5,0,2015
Biopharmaceuticals,Jiangxi,5,0,2015
Biopharmaceuticals,Others,5,1,2015
Biopharmaceuticals,Shanghai,5,0,2015
Biopharmaceuticals,Tianjin,5,0,2015
Information Technology,Beijing,5,1,2015
Information Technology,Guangdong,5,0,2015
Information Technology,Guizhou,5,0,2015
Information Technology,Liaoning,5,0,2015
Information Technology,Others,5,4,2015
Information Technology,Shandong,5,1,2015
Information Technology,Shanghai,5,0,2015
Information Technology,Sichuan,5,0,2015
Information Technology,Tianjin,5,0,2015
Information Technology,Xinjiang,5,0,2015
New Energy Vehicles,Anhui,5,0,2015
New Energy Vehicles,Beijing,5,1,2015
New Energy Vehicles,Guangdong,5,0,2015
New Energy Vehicles,Hebei,5,0,2015
New Energy Vehicles,Heilongjiang,5,0,2015
New Energy Vehicles,Henan,5,0,2015
New Energy Vehicles,Jiangsu,5,0,2015
New Energy Vehicles,Jiangxi,5,0,2015
New Energy Vehicles,Others,5,0,2015
New Energy Vehicles,Shanghai,5,0,2015
New Materials,Beijing,5,0,2015
New Materials,Hebei,5,0,2015
New Materials,Henan,5,0,2015
New Materials,Jiangxi,5,0,2015
New Materials,Others,5,0,2015
New Materials,Shandong,5,0,2015
New Materials,Shanghai,5,2,2015
Ocean Engineering,Beijing,5,0,2015
Ocean Engineering,Liaoning,5,0,2015
Ocean Engineering,Others,5,2,2015
Ocean Engineering,Zhejiang,5,1,2015
Rail Transit,Beijing,5,1,2015
Rail Transit,Guangdong,5,1,2015
Rail Transit,Jiangxi,5,0,2015
Rail Transit,Others,5,4,2015
Rail Transit,Shanghai,5,1,2015
Rail Transit,Sichuan,5,0,2015
Rail Transit,Zhejiang,5,0,2015
Robotics,Anhui,5,0,2015
Robotics,Beijing,5,0,2015
Robotics,Chongqing,5,0,2015
Robotics,Guangdong,5,0,2015
Robotics,Heilongjiang,5,0,2015
Robotics,Henan,5,0,2015
Robotics,Jiangsu,5,0,2015
Robotics,Jiangxi,5,0,2015
Robotics,Liaoning,5,0,2015
Robotics,Others,5,2,2015
Robotics,Shandong,5,0,2015
Robotics,Shanghai,5,0,2015
Robotics,Sichuan,5,0,2015
Robotics,Tianjin,5,0,2015
Robotics,Xinjiang,5,0,2015
Robotics,Zhejiang,5,0,2015
Agricultural Machinery,Beijing,6,0,2015
Agricultural Machinery,Others,6,0,2015
Agricultural Machinery,Sichuan,6,0,2015
Agricultural Machinery,Tibet,6,0,2015
Biopharmaceuticals,Beijing,6,0,2015
Biopharmaceuticals,Henan,6,0,2015
Biopharmaceuticals,Jiangxi,6,0,2015
Biopharmaceuticals,Others,6,0,2015
Biopharmaceuticals,Shanghai,6,0,2015
Biopharmaceuticals,Tianjin,6,0,2015
Information Technology,Beijing,6,1,2015
Information Technology,Guangdong,6,0,2015
Information Technology,Guizhou,6,0,2015
Information Technology,Liaoning,6,0,2015
Information Technology,Others,6,1,2015
Information Technology,Shandong,6,0,2015
Information Technology,Shanghai,6,0,2015
Information Technology,Sichuan,6,0,2015
Information Technology,Tianjin,6,0,2015
Information Technology,Xinjiang,6,0,2015
New Energy Vehicles,Anhui,6,0,2015
New Energy Vehicles,Beijing,6,0,2015
New Energy Vehicles,Guangdong,6,0,2015
New Energy Vehicles,Hebei,6,0,2015
New Energy Vehicles,Heilongjiang,6,0,2015
New Energy Vehicles,Henan,6,0,2015
New Energy Vehicles,Jiangsu,6,0,2015
New Energy Vehicles,Jiangxi,6,0,2015
New Energy Vehicles,Others,6,0,2015
New Energy Vehicles,Shanghai,6,0,2015
New Materials,Beijing,6,1,2015
New Materials,Hebei,6,0,2015
New Materials,Henan,6,0,2015
New Materials,Jiangxi,6,0,2015
New Materials,Others,6,1,2015
New Materials,Shandong,6,0,2015
New Materials,Shanghai,6,0,2015
Ocean Engineering,Beijing,6,0,2015
Ocean Engineering,Liaoning,6,0,2015
Ocean Engineering,Others,6,0,2015
Ocean Engineering,Zhejiang,6,0,2015
Rail Transit,Beijing,6,0,2015
Rail Transit,Guangdong,6,0,2015
Rail Transit,Jiangxi,6,0,2015
Rail Transit,Others,6,2,2015
Rail Transit,Shanghai,6,1,2015
Rail Transit,Sichuan,6,1,2015
Rail Transit,Zhejiang,6,0,2015
Robotics,Anhui,6,0,2015
Robotics,Beijing,6,2,2015
Robotics,Chongqing,6,0,2015
Robotics,Guangdong,6,1,2015
Robotics,Heilongjiang,6,0,2015
Robotics,Henan,6,0,2015
Robotics,Jiangsu,6,0,2015
Robotics,Jiangxi,6,0,2015
Robotics,Liaoning,6,0,2015
Robotics,Others,6,0,2015
Robotics,Shandong,6,1,2015
Robotics,Shanghai,6,1,2015
Robotics,Sichuan,6,0,2015
Robotics,Tianjin,6,2,2015
Robotics,Xinjiang,6,0,2015
Robotics,Zhejiang,6,0,2015
Agricultural Machinery,Beijing,7,0,2015
Agricultural Machinery,Others,7,1,2015
Agricultural Machinery,Sichuan,7,1,2015
Agricultural Machinery,Tibet,7,0,2015
Biopharmaceuticals,Beijing,7,0,2015
Biopharmaceuticals,Henan,7,0,2015
Biopharmaceuticals,Jiangxi,7,0,2015
Biopharmaceuticals,Others,7,2,2015
Biopharmaceuticals,Shanghai,7,0,2015
Biopharmaceuticals,Tianjin,7,0,2015
Information Technology,Beijing,7,0,2015
Information Technology,Guangdong,7,0,2015
Information Technology,Guizhou,7,0,2015
Information Technology,Liaoning,7,0,2015
Information Technology,Others,7,1,2015
Information Technology,Shandong,7,0,2015
Information Technology,Shanghai,7,0,2015
Information Technology,Sichuan,7,0,2015
Information Technology,Tianjin,7,0,2015
Information Technology,Xinjiang,7,0,2015
New Energy Vehicles,Anhui,7,0,2015
New Energy Vehicles,Beijing,7,0,2015
New Energy Vehicles,Guangdong,7,0,2015
New Energy Vehicles,Hebei,7,0,2015
New Energy Vehicles,Heilongjiang,7,0,2015
New Energy Vehicles,Henan,7,0,2015
New Energy Vehicles,Jiangsu,7,0,2015
New Energy Vehicles,Jiangxi,7,0,2015
New Energy Vehicles,Others,7,0,2015
New Energy Vehicles,Shanghai,7,0,2015
New Materials,Beijing,7,0,2015
New Materials,Hebei,7,0,2015
New Materials,Henan,7,0,2015
New Materials,Jiangxi,7,0,2015
New Materials,Others,7,0,2015
New Materials,Shandong,7,0,2015
New Materials,Shanghai,7,0,2015
Ocean Engineering,Beijing,7,0,2015
Ocean Engineering,Liaoning,7,0,2015
Ocean Engineering,Others,7,0,2015
Ocean Engineering,Zhejiang,7,0,2015
Rail Transit,Beijing,7,1,2015
Rail Transit,Guangdong,7,1,2015
Rail Transit,Jiangxi,7,1,2015
Rail Transit,Others,7,1,2015
Rail Transit,Shanghai,7,0,2015
Rail Transit,Sichuan,7,0,2015
Rail Transit,Zhejiang,7,0,2015
Robotics,Anhui,7,0,2015
Robotics,Beijing,7,0,2015
Robotics,Chongqing,7,1,2015
Robotics,Guangdong,7,0,2015
Robotics,Heilongjiang,7,0,2015
Robotics,Henan,7,0,2015
Robotics,Jiangsu,7,0,2015
Robotics,Jiangxi,7,1,2015
Robotics,Liaoning,7,1,2015
Robotics,Others,7,0,2015
Robotics,Shandong,7,1,2015
Robotics,Shanghai,7,1,2015
Robotics,Sichuan,7,0,2015
Robotics,Tianjin,7,0,2015
Robotics,Xinjiang,7,0,2015
Robotics,Zhejiang,7,0,2015
Agricultural Machinery,Beijing,8,0,2015
Agricultural Machinery,Others,8,0,2015
Agricultural Machinery,Sichuan,8,0,2015
Agricultural Machinery,Tibet,8,0,2015
Biopharmaceuticals,Beijing,8,0,2015
Biopharmaceuticals,Henan,8,0,2015
Biopharmaceuticals,Jiangxi,8,1,2015
Biopharmaceuticals,Others,8,0,2015
Biopharmaceuticals,Shanghai,8,0,2015
Biopharmaceuticals,Tianjin,8,0,2015
Information Technology,Beijing,8,0,2015
Information Technology,Guangdong,8,1,2015
Information Technology,Guizhou,8,0,2015
Information Technology,Liaoning,8,0,2015
Information Technology,Others,8,1,2015
Information Technology,Shandong,8,0,2015
Information Technology,Shanghai,8,0,2015
Information Technology,Sichuan,8,0,2015
Information Technology,Tianjin,8,0,2015
Information Technology,Xinjiang,8,0,2015
New Energy Vehicles,Anhui,8,0,2015
New Energy Vehicles,Beijing,8,0,2015
New Energy Vehicles,Guangdong,8,0,2015
New Energy Vehicles,Hebei,8,0,2015
New Energy Vehicles,Heilongjiang,8,0,2015
New Energy Vehicles,Henan,8,0,2015
New Energy Vehicles,Jiangsu,8,0,2015
New Energy Vehicles,Jiangxi,8,0,2015
New Energy Vehicles,Others,8,1,2015
New Energy Vehicles,Shanghai,8,0,2015
New Materials,Beijing,8,0,2015
New Materials,Hebei,8,0,2015
New Materials,Henan,8,0,2015
New Materials,Jiangxi,8,1,2015
New Materials,Others,8,0,2015
New Materials,Shandong,8,0,2015
New Materials,Shanghai,8,0,2015
Ocean Engineering,Beijing,8,0,2015
Ocean Engineering,Liaoning,8,0,2015
Ocean Engineering,Others,8,0,2015
Ocean Engineering,Zhejiang,8,0,2015
Rail Transit,Beijing,8,0,2015
Rail Transit,Guangdong,8,0,2015
Rail Transit,Jiangxi,8,0,2015
Rail Transit,Others,8,1,2015
Rail Transit,Shanghai,8,0,2015
Rail Transit,Sichuan,8,0,2015
Rail Transit,Zhejiang,8,0,2015
Robotics,Anhui,8,1,2015
Robotics,Beijing,8,0,2015
Robotics,Chongqing,8,0,2015
Robotics,Guangdong,8,0,2015
Robotics,Heilongjiang,8,0,2015
Robotics,Henan,8,0,2015
Robotics,Jiangsu,8,0,2015
Robotics,Jiangxi,8,0,2015
Robotics,Liaoning,8,0,2015
Robotics,Others,8,3,2015
Robotics,Shandong,8,0,2015
Robotics,Shanghai,8,1,2015
Robotics,Sichuan,8,0,2015
Robotics,Tianjin,8,0,2015
Robotics,Xinjiang,8,0,2015
Robotics,Zhejiang,8,0,2015
Agricultural Machinery,Beijing,9,0,2015
Agricultural Machinery,Others,9,0,2015
Agricultural Machinery,Sichuan,9,0,2015
Agricultural Machinery,Tibet,9,0,2015
Biopharmaceuticals,Beijing,9,0,2015
Biopharmaceuticals,Henan,9,0,2015
Biopharmaceuticals,Jiangxi,9,0,2015
Biopharmaceuticals,Others,9,0,2015
Biopharmaceuticals,Shanghai,9,0,2015
Biopharmaceuticals,Tianjin,9,0,2015
Information Technology,Beijing,9,0,2015
Information Technology,Guangdong,9,0,2015
Information Technology,Guizhou,9,0,2015
Information Technology,Liaoning,9,1,2015
Information Technology,Others,9,4,2015
Information Technology,Shandong,9,0,2015
Information Technology,Shanghai,9,0,2015
Information Technology,Sichuan,9,0,2015
Information Technology,Tianjin,9,0,2015
Information Technology,Xinjiang,9,0,2015
New Energy Vehicles,Anhui,9,0,2015
New Energy Vehicles,Beijing,9,0,2015
New Energy Vehicles,Guangdong,9,0,2015
New Energy Vehicles,Hebei,9,0,2015
New Energy Vehicles,Heilongjiang,9,0,2015
New Energy Vehicles,Henan,9,0,2015
New Energy Vehicles,Jiangsu,9,1,2015
New Energy Vehicles,Jiangxi,9,0,2015
New Energy Vehicles,Others,9,2,2015
New Energy Vehicles,Shanghai,9,0,2015
New Materials,Beijing,9,0,2015
New Materials,Hebei,9,0,2015
New Materials,Henan,9,0,2015
New Materials,Jiangxi,9,0,2015
New Materials,Others,9,0,2015
New Materials,Shandong,9,1,2015
New Materials,Shanghai,9,0,2015
Ocean Engineering,Beijing,9,0,2015
Ocean Engineering,Liaoning,9,1,2015
Ocean Engineering,Others,9,0,2015
Ocean Engineering,Zhejiang,9,0,2015
Rail Transit,Beijing,9,0,2015
Rail Transit,Guangdong,9,0,2015
Rail Transit,Jiangxi,9,0,2015
Rail Transit,Others,9,2,2015
Rail Transit,Shanghai,9,0,2015
Rail Transit,Sichuan,9,1,2015
Rail Transit,Zhejiang,9,0,2015
Robotics,Anhui,9,0,2015
Robotics,Beijing,9,2,2015
Robotics,Chongqing,9,0,2015
Robotics,Guangdong,9,0,2015
Robotics,Heilongjiang,9,0,2015
Robotics,Henan,9,0,2015
Robotics,Jiangsu,9,0,2015
Robotics,Jiangxi,9,0,2015
Robotics,Liaoning,9,0,2015
Robotics,Others,9,0,2015
Robotics,Shandong,9,0,2015
Robotics,Shanghai,9,0,2015
Robotics,Sichuan,9,0,2015
Robotics,Tianjin,9,0,2015
Robotics,Xinjiang,9,1,2015
Robotics,Zhejiang,9,0,2015
Agricultural Machinery,Beijing,10,0,2015
Agricultural Machinery,Others,10,0,2015
Agricultural Machinery,Sichuan,10,0,2015
Agricultural Machinery,Tibet,10,0,2015
Biopharmaceuticals,Beijing,10,0,2015
Biopharmaceuticals,Henan,10,1,2015
Biopharmaceuticals,Jiangxi,10,0,2015
Biopharmaceuticals,Others,10,1,2015
Biopharmaceuticals,Shanghai,10,0,2015
Biopharmaceuticals,Tianjin,10,0,2015
Information Technology,Beijing,10,0,2015
Information Technology,Guangdong,10,0,2015
Information Technology,Guizhou,10,0,2015
Information Technology,Liaoning,10,0,2015
Information Technology,Others,10,3,2015
Information Technology,Shandong,10,0,2015
Information Technology,Shanghai,10,0,2015
Information Technology,Sichuan,10,0,2015
Information Technology,Tianjin,10,0,2015
Information Technology,Xinjiang,10,0,2015
New Energy Vehicles,Anhui,10,1,2015
New Energy Vehicles,Beijing,10,0,2015
New Energy Vehicles,Guangdong,10,0,2015
New Energy Vehicles,Hebei,10,0,2015
New Energy Vehicles,Heilongjiang,10,0,2015
New Energy Vehicles,Henan,10,1,2015
New Energy Vehicles,Jiangsu,10,0,2015
New Energy Vehicles,Jiangxi,10,0,2015
New Energy Vehicles,Others,10,2,2015
New Energy Vehicles,Shanghai,10,0,2015
New Materials,Beijing,10,0,2015
New Materials,Hebei,10,0,2015
New Materials,Henan,10,0,2015
New Materials,Jiangxi,10,0,2015
New Materials,Others,10,2,2015
New Materials,Shandong,10,0,2015
New Materials,Shanghai,10,0,2015
Ocean Engineering,Beijing,10,0,2015
Ocean Engineering,Liaoning,10,0,2015
Ocean Engineering,Others,10,0,2015
Ocean Engineering,Zhejiang,10,0,2015
Rail Transit,Beijing,10,0,2015
Rail Transit,Guangdong,10,0,2015
Rail Transit,Jiangxi,10,0,2015
Rail Transit,Others,10,0,2015
Rail Transit,Shanghai,10,0,2015
Rail Transit,Sichuan,10,0,2015
Rail Transit,Zhejiang,10,0,2015
Robotics,Anhui,10,0,2015
Robotics,Beijing,10,1,2015
Robotics,Chongqing,10,0,2015
Robotics,Guangdong,10,0,2015
Robotics,Heilongjiang,10,0,2015
Robotics,Henan,10,1,2015
Robotics,Jiangsu,10,0,2015
Robotics,Jiangxi,10,0,2015
Robotics,Liaoning,10,0,2015
Robotics,Others,10,1,2015
Robotics,Shandong,10,0,2015
Robotics,Shanghai,10,0,2015
Robotics,Sichuan,10,0,2015
Robotics,Tianjin,10,0,2015
Robotics,Xinjiang,10,0,2015
Robotics,Zhejiang,10,0,2015
Agricultural Machinery,Beijing,11,0,2015
Agricultural Machinery,Others,11,0,2015
Agricultural Machinery,Sichuan,11,0,2015
Agricultural Machinery,Tibet,11,0,2015
Biopharmaceuticals,Beijing,11,0,2015
Biopharmaceuticals,Henan,11,0,2015
Biopharmaceuticals,Jiangxi,11,0,2015
Biopharmaceuticals,Others,11,1,2015
Biopharmaceuticals,Shanghai,11,0,2015
Biopharmaceuticals,Tianjin,11,0,2015
Information Technology,Beijing,11,1,2015
Information Technology,Guangdong,11,0,2015
Information Technology,Guizhou,11,0,2015
Information Technology,Liaoning,11,0,2015
Information Technology,Others,11,2,2015
Information Technology,Shandong,11,0,2015
Information Technology,Shanghai,11,0,2015
Information Technology,Sichuan,11,0,2015
Information Technology,Tianjin,11,0,2015
Information Technology,Xinjiang,11,0,2015
New Energy Vehicles,Anhui,11,0,2015
New Energy Vehicles,Beijing,11,0,2015
New Energy Vehicles,Guangdong,11,0,2015
New Energy Vehicles,Hebei,11,0,2015
New Energy Vehicles,Heilongjiang,11,0,2015
New Energy Vehicles,Henan,11,0,2015
New Energy Vehicles,Jiangsu,11,0,2015
New Energy Vehicles,Jiangxi,11,1,2015
New Energy Vehicles,Others,11,0,2015
New Energy Vehicles,Shanghai,11,0,2015
New Materials,Beijing,11,0,2015
New Materials,Hebei,11,0,2015
New Materials,Henan,11,0,2015
New Materials,Jiangxi,11,0,2015
New Materials,Others,11,1,2015
New Materials,Shandong,11,0,2015
New Materials,Shanghai,11,0,2015
Ocean Engineering,Beijing,11,1,2015
Ocean Engineering,Liaoning,11,0,2015
Ocean Engineering,Others,11,0,2015
Ocean Engineering,Zhejiang,11,0,2015
Rail Transit,Beijing,11,0,2015
Rail Transit,Guangdong,11,0,2015
Rail Transit,Jiangxi,11,0,2015
Rail Transit,Others,11,0,2015
Rail Transit,Shanghai,11,0,2015
Rail Transit,Sichuan,11,0,2015
Rail Transit,Zhejiang,11,0,2015
Robotics,Anhui,11,0,2015
Robotics,Beijing,11,1,2015
Robotics,Chongqing,11,0,2015
Robotics,Guangdong,11,0,2015
Robotics,Heilongjiang,11,0,2015
Robotics,Henan,11,0,2015
Robotics,Jiangsu,11,0,2015
Robotics,Jiangxi,11,0,2015
Robotics,Liaoning,11,0,2015
Robotics,Others,11,1,2015
Robotics,Shandong,11,0,2015
Robotics,Shanghai,11,0,2015
Robotics,Sichuan,11,0,2015
Robotics,Tianjin,11,0,2015
Robotics,Xinjiang,11,0,2015
Robotics,Zhejiang,11,0,2015
Agricultural Machinery,Beijing,12,0,2015
